FUNCTION_ID,FIELD_NAME,FIELD_NUM,AUTH_STAT
FUNCTION,Field Name 1,393,U
FUNCTION,Field Name 2,734,A
FUNCTION,Field Name 3,269,A
FUNCTION,Field Name 4,766,A
FUNCTION,Field Name 5,92,A
FUNCTION,Field Name 6,359,A
FUNCTION,Field Name 7,533,A
FUNCTION,Field Name 8,49,A
FUNCTION,Field Name 9,627,A
FUNCTION,Field Name 10,994,A
FUNCTION,Field Name 11,807,A
FUNCTION,Field Name 12,792,A
FUNCTION,Field Name 13,287,A
FUNCTION,Field Name 14,911,A
FUNCTION,Field Name 15,436,A
FUNCTION,Field Name 16,388,A
FUNCTION,Field Name 17,729,A
FUNCTION,Field Name 18,158,A
FUNCTION,Field Name 19,194,A
FUNCTION,Field Name 20,296,A
FUNCTION,Field Name 21,767,A
FUNCTION,Field Name 22,849,A
FUNCTION,Field Name 23,403,A
FUNCTION,Field Name 24,144,U
FUNCTION,Field Name 25,495,A
FUNCTION,Field Name 26,334,A
FUNCTION,Field Name 27,781,A
FUNCTION,Field Name 28,509,A
FUNCTION,Field Name 29,311,A
FUNCTION,Field Name 30,948,A
FUNCTION,Field Name 31,504,A
FUNCTION,Field Name 32,470,A
FUNCTION,Field Name 33,102,A
FUNCTION,Field Name 34,352,A
FUNCTION,Field Name 35,661,A
FUNCTION,Field Name 36,274,A
FUNCTION,Field Name 37,172,A
FUNCTION,Field Name 38,17,A
FUNCTION,Field Name 39,39,A
FUNCTION,Field Name 40,211,A
FUNCTION,Field Name 41,792,A
FUNCTION,Field Name 42,382,A
FUNCTION,Field Name 43,634,A
FUNCTION,Field Name 44,563,A
FUNCTION,Field Name 45,471,A
FUNCTION,Field Name 46,379,A
FUNCTION,Field Name 47,146,U
FUNCTION,Field Name 48,792,A
FUNCTION,Field Name 49,167,A
FUNCTION,Field Name 50,666,A
FUNCTION,Field Name 51,892,A
FUNCTION,Field Name 52,801,A
FUNCTION,Field Name 53,45,A
FUNCTION,Field Name 54,540,A
FUNCTION,Field Name 55,825,A
FUNCTION,Field Name 56,86,A
FUNCTION,Field Name 57,809,A
FUNCTION,Field Name 58,190,A
FUNCTION,Field Name 59,367,A
FUNCTION,Field Name 60,889,A
FUNCTION,Field Name 61,79,A
FUNCTION,Field Name 62,0,A
FUNCTION,Field Name 63,512,A
FUNCTION,Field Name 64,274,A
FUNCTION,Field Name 65,702,A
FUNCTION,Field Name 66,670,A
FUNCTION,Field Name 67,590,A
FUNCTION,Field Name 68,771,A
FUNCTION,Field Name 69,853,A
FUNCTION,Field Name 70,396,U
FUNCTION,Field Name 71,745,A
FUNCTION,Field Name 72,116,A
FUNCTION,Field Name 73,74,A
FUNCTION,Field Name 74,2,A
FUNCTION,Field Name 75,910,A
FUNCTION,Field Name 76,183,A
FUNCTION,Field Name 77,208,A
FUNCTION,Field Name 78,276,A
FUNCTION,Field Name 79,559,A
FUNCTION,Field Name 80,738,A
FUNCTION,Field Name 81,350,A
FUNCTION,Field Name 82,603,A
FUNCTION,Field Name 83,210,A
FUNCTION,Field Name 84,149,A
FUNCTION,Field Name 85,282,A
FUNCTION,Field Name 86,330,A
FUNCTION,Field Name 87,969,A
FUNCTION,Field Name 88,371,A
FUNCTION,Field Name 89,606,A
FUNCTION,Field Name 90,437,A
FUNCTION,Field Name 91,656,A
FUNCTION,Field Name 92,633,A
FUNCTION,Field Name 93,687,U
FUNCTION,Field Name 94,68,A
FUNCTION,Field Name 95,68,A
FUNCTION,Field Name 96,492,A
FUNCTION,Field Name 97,47,A
FUNCTION,Field Name 98,175,A
FUNCTION,Field Name 99,682,A
FUNCTION,Field Name 100,544,A
FUNCTION,Field Name 101,714,A
FUNCTION,Field Name 102,849,A
FUNCTION,Field Name 103,463,A
FUNCTION,Field Name 104,668,A
FUNCTION,Field Name 105,217,A
FUNCTION,Field Name 106,822,A
FUNCTION,Field Name 107,38,A
FUNCTION,Field Name 108,140,A
FUNCTION,Field Name 109,860,A
FUNCTION,Field Name 110,138,A
FUNCTION,Field Name 111,433,A
FUNCTION,Field Name 112,217,A
FUNCTION,Field Name 113,60,A
FUNCTION,Field Name 114,974,A
FUNCTION,Field Name 115,796,A
FUNCTION,Field Name 116,385,U
FUNCTION,Field Name 117,561,A
FUNCTION,Field Name 118,358,A
FUNCTION,Field Name 119,978,A
FUNCTION,Field Name 120,105,A
FUNCTION,Field Name 121,261,A
FUNCTION,Field Name 122,238,A
FUNCTION,Field Name 123,152,A
FUNCTION,Field Name 124,922,A
FUNCTION,Field Name 125,343,A
FUNCTION,Field Name 126,807,A
FUNCTION,Field Name 127,306,A
FUNCTION,Field Name 128,525,A
FUNCTION,Field Name 129,872,A
FUNCTION,Field Name 130,830,A
FUNCTION,Field Name 131,221,A
FUNCTION,Field Name 132,334,A
FUNCTION,Field Name 133,610,A
FUNCTION,Field Name 134,216,A
FUNCTION,Field Name 135,982,A
FUNCTION,Field Name 136,701,A
FUNCTION,Field Name 137,924,A
FUNCTION,Field Name 138,444,A
FUNCTION,Field Name 139,40,U
FUNCTION,Field Name 140,235,A
FUNCTION,Field Name 141,582,A
FUNCTION,Field Name 142,148,A
FUNCTION,Field Name 143,655,A
FUNCTION,Field Name 144,460,A
FUNCTION,Field Name 145,991,A
FUNCTION,Field Name 146,958,A
FUNCTION,Field Name 147,40,A
FUNCTION,Field Name 148,567,A
FUNCTION,Field Name 149,838,A
FUNCTION,Field Name 150,47,A
FUNCTION,Field Name 151,495,A
FUNCTION,Field Name 152,758,A
FUNCTION,Field Name 153,314,A
FUNCTION,Field Name 154,856,A
FUNCTION,Field Name 155,28,A
FUNCTION,Field Name 156,38,A
FUNCTION,Field Name 157,597,A
FUNCTION,Field Name 158,31,A
FUNCTION,Field Name 159,143,A
FUNCTION,Field Name 160,697,A
FUNCTION,Field Name 161,375,A
FUNCTION,Field Name 162,883,U
FUNCTION,Field Name 163,513,A
FUNCTION,Field Name 164,22,A
FUNCTION,Field Name 165,509,A
FUNCTION,Field Name 166,686,A
FUNCTION,Field Name 167,362,A
FUNCTION,Field Name 168,824,A
FUNCTION,Field Name 169,558,A
FUNCTION,Field Name 170,232,A
FUNCTION,Field Name 171,74,A
FUNCTION,Field Name 172,276,A
FUNCTION,Field Name 173,457,A
FUNCTION,Field Name 174,458,A
FUNCTION,Field Name 175,177,A
FUNCTION,Field Name 176,107,A
FUNCTION,Field Name 177,838,A
FUNCTION,Field Name 178,939,A
FUNCTION,Field Name 179,782,A
FUNCTION,Field Name 180,560,A
FUNCTION,Field Name 181,233,A
FUNCTION,Field Name 182,937,A
FUNCTION,Field Name 183,944,A
FUNCTION,Field Name 184,623,A
FUNCTION,Field Name 185,352,U
FUNCTION,Field Name 186,674,A
FUNCTION,Field Name 187,939,A
FUNCTION,Field Name 188,905,A
FUNCTION,Field Name 189,295,A
FUNCTION,Field Name 190,95,A
FUNCTION,Field Name 191,239,A
FUNCTION,Field Name 192,137,A
FUNCTION,Field Name 193,921,A
FUNCTION,Field Name 194,579,A
FUNCTION,Field Name 195,686,A
FUNCTION,Field Name 196,365,A
FUNCTION,Field Name 197,715,A
FUNCTION,Field Name 198,756,A
FUNCTION,Field Name 199,730,A
FUNCTION,Field Name 200,521,A
FUNCTION,Field Name 201,16,A
FUNCTION,Field Name 202,272,A
FUNCTION,Field Name 203,822,A
FUNCTION,Field Name 204,701,A
FUNCTION,Field Name 205,535,A
FUNCTION,Field Name 206,70,A
FUNCTION,Field Name 207,523,A
FUNCTION,Field Name 208,551,U
FUNCTION,Field Name 209,839,A
FUNCTION,Field Name 210,832,A
FUNCTION,Field Name 211,599,A
FUNCTION,Field Name 212,71,A
FUNCTION,Field Name 213,803,A
FUNCTION,Field Name 214,665,A
FUNCTION,Field Name 215,452,A
FUNCTION,Field Name 216,358,A
FUNCTION,Field Name 217,499,A
FUNCTION,Field Name 218,539,A
FUNCTION,Field Name 219,468,A
FUNCTION,Field Name 220,95,A
FUNCTION,Field Name 221,378,A
FUNCTION,Field Name 222,378,A
FUNCTION,Field Name 223,248,A
FUNCTION,Field Name 224,463,A
FUNCTION,Field Name 225,755,A
FUNCTION,Field Name 226,732,A
FUNCTION,Field Name 227,834,A
FUNCTION,Field Name 228,788,A
FUNCTION,Field Name 229,213,A
FUNCTION,Field Name 230,243,A
FUNCTION,Field Name 231,717,U
FUNCTION,Field Name 232,867,A
FUNCTION,Field Name 233,308,A
FUNCTION,Field Name 234,62,A
FUNCTION,Field Name 235,761,A
FUNCTION,Field Name 236,231,A
FUNCTION,Field Name 237,0,A
FUNCTION,Field Name 238,728,A
FUNCTION,Field Name 239,341,A
FUNCTION,Field Name 240,6,A
FUNCTION,Field Name 241,197,A
FUNCTION,Field Name 242,247,A
FUNCTION,Field Name 243,127,A
FUNCTION,Field Name 244,755,A
FUNCTION,Field Name 245,638,A
FUNCTION,Field Name 246,555,A
FUNCTION,Field Name 247,461,A
FUNCTION,Field Name 248,191,A
FUNCTION,Field Name 249,408,A
FUNCTION,Field Name 250,902,A
FUNCTION,Field Name 251,488,A
FUNCTION,Field Name 252,70,A
FUNCTION,Field Name 253,741,A
FUNCTION,Field Name 254,827,U
FUNCTION,Field Name 255,207,A
FUNCTION,Field Name 256,734,A
FUNCTION,Field Name 257,197,A
FUNCTION,Field Name 258,211,A
FUNCTION,Field Name 259,287,A
FUNCTION,Field Name 260,118,A
FUNCTION,Field Name 261,950,A
FUNCTION,Field Name 262,104,A
FUNCTION,Field Name 263,558,A
FUNCTION,Field Name 264,30,A
FUNCTION,Field Name 265,329,A
FUNCTION,Field Name 266,808,A
FUNCTION,Field Name 267,10,A
FUNCTION,Field Name 268,385,A
FUNCTION,Field Name 269,570,A
FUNCTION,Field Name 270,982,A
FUNCTION,Field Name 271,355,A
FUNCTION,Field Name 272,795,A
FUNCTION,Field Name 273,429,A
FUNCTION,Field Name 274,273,A
FUNCTION,Field Name 275,939,A
FUNCTION,Field Name 276,289,A
FUNCTION,Field Name 277,593,U
FUNCTION,Field Name 278,715,A
FUNCTION,Field Name 279,70,A
FUNCTION,Field Name 280,388,A
FUNCTION,Field Name 281,336,A
FUNCTION,Field Name 282,204,A
FUNCTION,Field Name 283,914,A
FUNCTION,Field Name 284,166,A
FUNCTION,Field Name 285,497,A
FUNCTION,Field Name 286,623,A
FUNCTION,Field Name 287,669,A
FUNCTION,Field Name 288,947,A
FUNCTION,Field Name 289,444,A
FUNCTION,Field Name 290,613,A
FUNCTION,Field Name 291,232,A
FUNCTION,Field Name 292,549,A
FUNCTION,Field Name 293,637,A
FUNCTION,Field Name 294,115,A
FUNCTION,Field Name 295,735,A
FUNCTION,Field Name 296,710,A
FUNCTION,Field Name 297,272,A
FUNCTION,Field Name 298,365,A
FUNCTION,Field Name 299,729,A
FUNCTION,Field Name 300,711,U
FUNCTION,Field Name 301,197,A
FUNCTION,Field Name 302,123,A
FUNCTION,Field Name 303,430,A
FUNCTION,Field Name 304,724,A
FUNCTION,Field Name 305,449,A
FUNCTION,Field Name 306,30,A
FUNCTION,Field Name 307,983,A
FUNCTION,Field Name 308,245,A
FUNCTION,Field Name 309,944,A
FUNCTION,Field Name 310,702,A
FUNCTION,Field Name 311,337,A
FUNCTION,Field Name 312,834,A
FUNCTION,Field Name 313,410,A
FUNCTION,Field Name 314,76,A
FUNCTION,Field Name 315,759,A
FUNCTION,Field Name 316,246,A
FUNCTION,Field Name 317,334,A
FUNCTION,Field Name 318,244,A
FUNCTION,Field Name 319,966,A
FUNCTION,Field Name 320,714,A
FUNCTION,Field Name 321,412,A
FUNCTION,Field Name 322,498,A
FUNCTION,Field Name 323,349,U
FUNCTION,Field Name 324,765,A
FUNCTION,Field Name 325,641,A
FUNCTION,Field Name 326,899,A
FUNCTION,Field Name 327,861,A
FUNCTION,Field Name 328,833,A
FUNCTION,Field Name 329,540,A
FUNCTION,Field Name 330,804,A
FUNCTION,Field Name 331,483,A
FUNCTION,Field Name 332,531,A
FUNCTION,Field Name 333,785,A
FUNCTION,Field Name 334,191,A
FUNCTION,Field Name 335,587,A
FUNCTION,Field Name 336,535,A
FUNCTION,Field Name 337,398,A
FUNCTION,Field Name 338,536,A
FUNCTION,Field Name 339,692,A
FUNCTION,Field Name 340,87,A
FUNCTION,Field Name 341,135,A
FUNCTION,Field Name 342,132,A
FUNCTION,Field Name 343,240,A
FUNCTION,Field Name 344,538,A
FUNCTION,Field Name 345,739,A
FUNCTION,Field Name 346,539,U
FUNCTION,Field Name 347,524,A
FUNCTION,Field Name 348,437,A
FUNCTION,Field Name 349,30,A
FUNCTION,Field Name 350,790,A
FUNCTION,Field Name 351,192,A
FUNCTION,Field Name 352,216,A
FUNCTION,Field Name 353,290,A
FUNCTION,Field Name 354,504,A
FUNCTION,Field Name 355,983,A
FUNCTION,Field Name 356,628,A
FUNCTION,Field Name 357,712,A
FUNCTION,Field Name 358,646,A
FUNCTION,Field Name 359,314,A
FUNCTION,Field Name 360,162,A
FUNCTION,Field Name 361,653,A
FUNCTION,Field Name 362,614,A
FUNCTION,Field Name 363,969,A
FUNCTION,Field Name 364,775,A
FUNCTION,Field Name 365,163,A
FUNCTION,Field Name 366,305,A
FUNCTION,Field Name 367,487,A
